condition,subject,trial,frame,time,tree,ptally,event,p_ign_apple,p_ign_banana,inter_click_interval
hi10lo70,1,1,1505,35.37087500002235,448,26,sustained click in barren tree,0.6153846153846154,0.2,0.6775300000444986
hi10lo70,1,1,1529,35.94926000002306,449,26,sustained click in barren tree,0.6153846153846154,0.2,0.5783850000007078
hi10lo70,1,1,1605,37.831669999985024,450,27,consume low value,0.6153846153846154,0.2,1.8824099999619648
hi10lo70,1,1,1628,38.407179999980144,426,27,sustained click in barren tree,0.6153846153846154,0.2,0.5755099999951199
hi10lo70,1,1,1655,39.06440999999177,451,27,sustained click in barren tree,0.6153846153846154,0.2,0.6572300000116229
hi10lo70,1,1,1682,39.70254000002751,452,27,sustained click in barren tree,0.6153846153846154,0.2,0.6381300000357442
hi10lo70,1,1,1690,39.94968499999959,428,27,sustained click in barren tree,0.6153846153846154,0.2,0.24714499997207895
hi10lo70,1,1,1699,40.20466500002658,379,27,sustained click in barren tree,0.6153846153846154,0.2,0.25498000002698973
hi10lo70,1,1,1719,40.65118500002427,355,27,sustained click in barren tree,0.6153846153846154,0.2,0.4465199999976903
hi10lo70,1,1,1740,41.15185999998357,308,27,sustained click in barren tree,0.6153846153846154,0.2,0.5006749999593012
hi10lo70,1,1,1756,41.53150500002084,309,27,sustained click in barren tree,0.6153846153846154,0.2,0.37964500003727153
hi10lo70,1,1,1766,41.78675500000827,333,27,sustained click in low value,0.6153846153846154,0.2,0.25524999998742715
hi10lo70,1,1,1789,42.3127150000073,286,27,sustained click in barren tree,0.6153846153846154,0.2,0.5259599999990314
hi10lo70,1,1,1858,43.96785999997519,333,28,consume low value,0.6153846153846154,0.2,1.655144999967888
hi10lo70,1,1,1896,44.845495000015944,525,28,sustained click in low value,0.6153846153846154,0.2,0.8776350000407547
hi10lo70,1,1,1908,45.14160999999149,526,28,sustained click in low value,0.6153846153846154,0.2,0.29611499997554347
hi10lo70,1,1,1917,45.398225000011735,548,28,sustained click in low value,0.6153846153846154,0.2,0.25661500002024695
hi10lo70,1,1,1931,45.744790000026114,573,28,sustained click in low value,0.6153846153846154,0.2,0.3465650000143796
hi10lo70,1,1,1946,46.102725000004284,572,28,sustained click in low value,0.6153846153846154,0.2,0.3579349999781698
hi10lo70,1,1,1975,46.8205050000106,569,28,sustained click in barren tree,0.6153846153846154,0.2,0.7177800000063144
hi10lo70,1,1,1990,47.183024999976624,566,28,sustained click in low value,0.6153846153846154,0.2,0.36251999996602535
hi10lo70,1,1,2005,47.54778000002261,542,28,sustained click in low value,0.6153846153846154,0.2,0.3647550000459887
hi10lo70,1,1,2025,48.00366500002565,564,28,sustained click in high value,0.6153846153846154,0.2,0.4558850000030361
hi10lo70,1,1,2038,48.35791000002064,539,28,sustained click in low value,0.6153846153846154,0.2,0.3542449999949895
hi10lo70,1,1,2136,50.65675000002375,564,34,consume high value,0.6153846153846154,0.2,2.2988400000031106
