condition,condition_labs,subject,trial,score,ignap,ignba,icint
40 bananas 40 apples,hi40lo40,5,19,37,0,0,1.8014476666615034
40 bananas 40 apples,hi40lo40,5,20,37,0,0,1.658296774194065
40 bananas 40 apples,hi40lo40,6,1,59,0.375,0,1.7135403030302823
40 bananas 40 apples,hi40lo40,6,2,50,0.2727272727272727,0,1.6605140624999422
40 bananas 40 apples,hi40lo40,6,3,72,1,0,1.412416219512191
40 bananas 40 apples,hi40lo40,6,4,66,1,0,1.3162408536584003
40 bananas 40 apples,hi40lo40,6,5,50,0.8333333333333334,0,1.151761145833305
40 bananas 40 apples,hi40lo40,6,6,65,0,0,1.8179071666665512
40 bananas 40 apples,hi40lo40,6,7,57,0.4,0,1.6442011290322802
40 bananas 40 apples,hi40lo40,7,1,73,0,0,1.6129912857145037
40 bananas 40 apples,hi40lo40,7,2,63,0,0,1.8778874999998758
40 bananas 40 apples,hi40lo40,7,3,60,0,0,1.7331389393939665
40 bananas 40 apples,hi40lo40,7,4,53,0.16666666666666666,0,1.705301129032441
40 bananas 40 apples,hi40lo40,7,5,55,0,0,1.8261239655172363
40 bananas 40 apples,hi40lo40,7,6,51,0.1,0,1.9511750000000812
40 bananas 40 apples,hi40lo40,7,7,54,0,0,2.6826847619044463
40 bananas 40 apples,hi40lo40,7,8,44,0.1111111111111111,0,2.1279201923081508
40 bananas 40 apples,hi40lo40,7,9,63,0,0,2.105055384615508
40 bananas 40 apples,hi40lo40,7,10,62,0,0,1.7963822413790882
40 bananas 40 apples,hi40lo40,7,11,56,0,0,2.0032172222223985
40 bananas 40 apples,hi40lo40,7,12,56,0,0,1.867576724138103
40 bananas 40 apples,hi40lo40,7,13,67,0,0,1.752284833333397
40 bananas 40 apples,hi40lo40,7,14,71,0,0,2.068270185185156
40 bananas 40 apples,hi40lo40,7,15,54,0,0,1.565769027777498
40 bananas 40 apples,hi40lo40,7,16,61,0,0,1.8569601666667344
40 bananas 40 apples,hi40lo40,7,17,62,0,0,1.9535512500000891
40 bananas 40 apples,hi40lo40,7,18,60,0,0,1.9249276785714236
40 bananas 40 apples,hi40lo40,7,19,56,0,0,1.9009817241382876
40 bananas 40 apples,hi40lo40,7,20,64,0,0,1.8510900000003403
